"Product Gallery","Product Gallery"
"General Settings","General Settings"
"Enable Module","Enable Module"
"Enable or disable the Product Gallery module","Enable or disable the Product Gallery module"
"Panth Product Gallery","Panth Product Gallery"
"Gallery Layout","Gallery Layout"
"Thumbnail Layout","Thumbnail Layout"
"Thumbnail Position","Thumbnail Position"
"Horizontal Thumbnails (Below Main Image)","Horizontal Thumbnails (Below Main Image)"
"Vertical Thumbnails (Left of Main Image)","Vertical Thumbnails (Left of Main Image)"
"Grid (All Images Visible)","Grid (All Images Visible)"
"Bottom","Bottom"
"Left","Left"
"Right","Right"
"Main Image Width (px)","Main Image Width (px)"
"Main Image Height (px)","Main Image Height (px)"
"Thumbnail Width (px)","Thumbnail Width (px)"
"Thumbnail Height (px)","Thumbnail Height (px)"
"Visible Thumbnails","Visible Thumbnails"
"Zoom","Zoom"
"Enable Zoom","Enable Zoom"
"Zoom Type","Zoom Type"
"Zoom Level","Zoom Level"
"Inner Zoom (Inside Image)","Inner Zoom (Inside Image)"
"Lens Zoom (Magnifying Glass)","Lens Zoom (Magnifying Glass)"
"Lightbox","Lightbox"
"Enable Lightbox","Enable Lightbox"
"Show Image Counter","Show Image Counter"
"Keyboard Navigation","Keyboard Navigation"
"Navigation","Navigation"
"Show Navigation Arrows","Show Navigation Arrows"
"Enable Swipe","Enable Swipe"
"Infinite Loop","Infinite Loop"
"Design & Colors","Design & Colors"
"Previous image","Previous image"
"Next image","Next image"
"View image %1","View image %1"
"Close","Close"
"Previous","Previous"
"Next","Next"
"Default Gallery","Default Gallery"
"Configuration","Configuration"
